iso_alpha_3,region_name_en,planetariums_count,population,planetariums_per_million
USA,United States,175,336806231.0,0.5195865868645405
RUS,Russian Federation,53,143826130.0,0.36850049431212534
ITA,Italy,49,58993475.0,0.8306003333419502
JPN,Japan,47,124516650.0,0.37745956062904035
DEU,Germany,44,83901923.0,0.5244218299978655
BRA,Brazil,40,211140729.0,0.18944710567898057
FRA,France,37,68287487.0,0.5418269382207608
IND,India,35,1438069596.0,0.024338182308667626
MEX,Mexico,26,129739759.0,0.20040117386066672
CHN,China,26,1410710000.0,0.018430435738032623
CZE,Czechia,20,10864042.0,1.840935445573572
ESP,Spain,16,48347910.0,0.3309346774245257
IRN,"Iran, Islamic Republic of",14,90608707.0,0.15451053727099318
ARG,Argentina,10,45538401.0,0.21959488652225623
KOR,"Korea, Republic of",10,51712619.0,0.1933763981282789
GBR,United Kingdom,10,68492000.0,0.14600245284120772
UKR,Ukraine,10,37732836.0,0.2650211608796116
TUR,Turkey,9,85325965.0,0.10547785776580434
PRT,Portugal,9,10578174.0,0.8508084665652125
PER,Peru,9,33845617.0,0.26591330865677526
HUN,Hungary,9,9592186.0,0.9382637075636356
COL,Colombia,8,52321152.0,0.15290183213091332
SVK,Slovakia,8,5426740.0,1.4741815528291387
CHL,Chile,7,19658835.0,0.3560739992985342
TWN,"Taiwan, Province of China",7,23850000.0,0.29350104821802936
POL,Poland,7,36687353.0,0.19080144593696907
ZAF,South Africa,6,63212384.0,0.09491810971723516
NZL,New Zealand,6,5245000.0,1.1439466158245948
BGR,Bulgaria,5,6446596.0,0.775603124501675
GRC,Greece,5,10405588.0,0.48051104848664006
CAN,Canada,5,40083484.0,0.12473965586424572
ROU,Romania,5,19059479.0,0.2623366567365246
CHE,Switzerland,5,8888093.0,0.5625503693536961
ECU,Ecuador,5,17980083.0,0.2780854793606904
BOL,"Bolivia, Plurinational State of",5,12244159.0,0.40835797705665206
NLD,Netherlands,4,17877117.0,0.22374972429838658
PRY,Paraguay,4,6844146.0,0.5844410683232064
THA,Thailand,4,71702435.0,0.055786111029562664
BEL,Belgium,4,11787423.0,0.3393447405764602
AUS,Australia,4,26652777.0,0.15007817009086896
SWE,Sweden,3,10536632.0,0.2847209620683346
FIN,Finland,3,5583911.0,0.5372578466956225
LSO,Lesotho,3,2311472.0,1.2978742550201776
LBY,Libya,3,7305659.0,0.4106405732870915
BGD,Bangladesh,3,171466990.0,0.017496078982899274
AZE,Azerbaijan,3,10153958.0,0.29545129101380957
AUT,Austria,3,9131761.0,0.32852370972039235
PAK,Pakistan,3,247504495.0,0.012120991984408202
PHL,Philippines,3,114891199.0,0.02611166065035147
DZA,Algeria,3,46164219.0,0.06498539485743277
QAT,Qatar,2,2656032.0,0.7530029758677607
PRI,Puerto Rico,2,3203792.0,0.6242602516018517
VEN,"Venezuela, Bolivarian Republic of",2,28300854.0,0.0706692455287745
IDN,Indonesia,2,281190067.0,0.0071126267771044705
GHA,Ghana,2,33787914.0,0.05919276342422323
MYS,Malaysia,2,35126298.0,0.056937397729757915
CRI,Costa Rica,2,5105525.0,0.3917324858853889
KAZ,Kazakhstan,2,20330104.0,0.0983762798262124
ISR,Israel,2,9849000.0,0.2030663011473246
URY,Uruguay,1,3388081.0,0.29515232959306464
ARM,Armenia,1,2964300.0,0.3373477718179671
BLR,Belarus,1,9178298.0,0.10895266202949609
BIH,Bosnia and Herzegovina,1,3185073.0,0.3139645464954806
TUN,Tunisia,1,12200431.0,0.08196431749009522
CUB,Cuba,1,11019931.0,0.09074466981689812
DNK,Denmark,1,5946952.0,0.168153366632184
EST,Estonia,1,1370286.0,0.7297746601804296
PSE,"Palestine, State of",1,5165775.0,0.1935817955679448
GTM,Guatemala,1,18124838.0,0.055172906924740514
NOR,Norway,1,5519594.0,0.1811727456765842
SVN,Slovenia,1,2120461.0,0.4715955634175776
IRQ,Iraq,1,45074049.0,0.022185714888848792
SAU,Saudi Arabia,1,33702731.0,0.02967118599379973
KGZ,Kyrgyzstan,1,7099750.0,0.14085002993063137
REU,R̩union,1,870000.0,1.1494252873563218
SRB,Serbia,1,6623183.0,0.15098480594602323
MLT,Malta,1,552747.0,1.80914595646833
NPL,Nepal,1,29694614.0,0.033676140730436836
LVA,Latvia,1,1877445.0,0.5326387723741575
019-US,Northern America,175,336806231.0,0.5195865868645405
419,Latin America and the Caribbean,121,595252110.0,0.20327521392574316
002,Africa,19,165852079.0,0.11455991456097453
EU,European Union,236,435375688.0,0.5420605846966815
RU,Russia,53,143826130.0,0.36850049431212534
142,Asia,180,4313365334.0,0.04173075685965069
009,Oceania,10,31897777.0,0.3135014706510739
